,caseid,task,user,end_timestamp,start_timestamp,role,ac_index,rl_index
67,Case101,Final Inspection Q.C.,ID4618,2012-03-25 19:31:00,2012-03-25 14:50:00,Role 3,3,8
68,Case101,Lapping,ID0998,2012-03-25 19:00:00,2012-03-25 18:00:00,Role 7,7,12
69,Case101,Laser Marking,ID0998,2012-03-25 19:29:00,2012-03-25 19:15:00,Role 7,8,12
70,Case101,Packing,ID4820,2012-03-26 09:00:00,2012-03-26 08:00:00,Role 5,12,10
71,Case102,Turning & Milling,ID4219,2012-02-28 04:09:00,2012-02-27 23:40:00,Role 1,21,1
72,Case102,Turning & Milling,ID4219,2012-02-28 08:23:00,2012-02-28 04:46:00,Role 1,21,1
73,Case102,Turning & Milling,ID0997,2012-02-28 20:26:00,2012-02-28 18:00:00,Role 1,21,1
74,Case102,Turning & Milling,ID0997,2012-02-28 23:12:00,2012-02-28 21:20:00,Role 1,21,1
75,Case102,Turning & Milling Q.C.,ID4287,2012-02-28 22:25:00,2012-02-28 21:35:00,Role 3,22,8
76,Case102,Turning & Milling,ID0997,2012-02-29 00:56:00,2012-02-28 23:12:00,Role 1,21,1
77,Case102,Turning & Milling,ID4219,2012-02-29 08:29:00,2012-02-29 04:28:00,Role 1,21,1
78,Case102,Turning & Milling,ID4794,2012-02-29 11:31:00,2012-02-29 08:30:00,Role 1,21,1
79,Case102,Turning & Milling,ID0997,2012-02-29 18:05:00,2012-02-29 14:32:00,Role 1,21,1
80,Case102,Turning & Milling,ID0997,2012-02-29 23:00:00,2012-02-29 18:05:00,Role 1,21,1
81,Case102,Turning & Milling Q.C.,ID4287,2012-02-29 23:00:00,2012-02-29 22:00:00,Role 3,22,8
82,Case102,Turning & Milling,ID0997,2012-03-01 00:20:00,2012-02-29 23:00:00,Role 1,21,1
83,Case102,Turning & Milling Q.C.,ID4287,2012-02-29 23:36:00,2012-02-29 23:04:00,Role 3,22,8
84,Case102,Turning & Milling,ID0997,2012-03-01 00:48:00,2012-03-01 00:19:00,Role 1,21,1
85,Case102,Turning & Milling,ID4219,2012-03-01 07:11:00,2012-03-01 05:27:00,Role 1,21,1
86,Case102,Turning & Milling Q.C.,ID4287,2012-03-01 17:49:00,2012-03-01 16:30:00,Role 3,22,8
87,Case102,Turning & Milling Q.C.,ID4287,2012-03-06 08:15:00,2012-03-06 07:00:00,Role 3,22,8
88,Case102,Laser Marking,ID0998,2012-03-08 21:41:00,2012-03-08 20:32:00,Role 7,8,12
89,Case102,Lapping,ID4882,2012-03-09 08:15:00,2012-03-09 07:00:00,Role 7,7,12
90,Case102,Lapping,ID0998,2012-03-11 18:04:00,2012-03-11 16:38:00,Role 7,7,12
91,Case102,Round Grinding,ID4528,2012-03-12 03:00:00,2012-03-12 02:25:00,Role 2,15,7
92,Case102,Round Grinding,ID4528,2012-03-12 06:40:00,2012-03-12 03:00:00,Role 2,15,7
93,Case102,Round Grinding,ID4445,2012-03-12 15:04:00,2012-03-12 14:03:00,Role 2,15,7
94,Case102,Round Grinding,ID4445,2012-03-12 15:09:00,2012-03-12 14:50:00,Role 2,15,7
95,Case102,Round Grinding,ID4287,2012-03-12 15:09:00,2012-03-12 15:02:00,Role 3,15,8
96,Case102,Round Grinding,ID4287,2012-03-12 17:57:00,2012-03-12 15:10:00,Role 3,15,8
97,Case102,Round Grinding,ID4445,2012-03-12 17:58:00,2012-03-12 17:00:00,Role 2,15,7
98,Case102,Final Inspection Q.C.,ID4287,2012-03-13 00:00:00,2012-03-12 21:00:00,Role 3,3,8
99,Case102,Final Inspection Q.C.,ID4287,2012-03-13 15:06:00,2012-03-13 15:00:00,Role 3,3,8
100,Case102,Packing,ID4820,2012-03-14 08:00:00,2012-03-14 07:00:00,Role 5,12,10
101,Case103,Turning & Milling,ID4219,2012-03-06 17:18:00,2012-03-06 16:10:00,Role 1,21,1
102,Case103,Turning & Milling,ID0997,2012-03-08 13:51:00,2012-03-08 11:19:00,Role 1,21,1
103,Case103,Turning & Milling,ID4219,2012-03-08 23:38:00,2012-03-08 17:04:00,Role 1,21,1
104,Case103,Turning & Milling,ID0997,2012-03-09 11:35:00,2012-03-09 03:24:00,Role 1,21,1
105,Case103,Turning & Milling,ID0997,2012-03-09 14:27:00,2012-03-09 11:35:00,Role 1,21,1
106,Case103,Turning & Milling Q.C.,ID4618,2012-03-09 17:38:00,2012-03-09 14:32:00,Role 3,22,8
107,Case103,Turning & Milling,ID4219,2012-03-09 17:27:00,2012-03-09 14:32:00,Role 1,21,1
108,Case103,Turning & Milling Q.C.,ID4618,2012-03-11 15:16:00,2012-03-11 14:42:00,Role 3,22,8
109,Case103,Turning & Milling,ID0997,2012-03-11 17:37:00,2012-03-11 16:03:00,Role 1,21,1
110,Case103,Turning & Milling,ID0997,2012-03-11 18:48:00,2012-03-11 17:37:00,Role 1,21,1
111,Case103,Turning & Milling,ID0997,2012-03-11 23:09:00,2012-03-11 18:49:00,Role 1,21,1
112,Case103,Turning & Milling,ID4219,2012-03-12 01:35:00,2012-03-11 23:35:00,Role 1,21,1
113,Case103,Turning & Milling Q.C.,ID4618,2012-03-12 15:28:00,2012-03-12 15:27:00,Role 3,22,8
114,Case103,Laser Marking,ID4355,2012-03-13 17:46:00,2012-03-13 16:54:00,Role 2,8,7
115,Case103,Flat Grinding,ID0998,2012-03-13 21:04:00,2012-03-13 20:27:00,Role 7,5,12
116,Case103,Final Inspection Q.C.,ID4618,2012-03-14 00:57:00,2012-03-13 21:07:00,Role 3,3,8
117,Case103,Final Inspection Q.C.,ID4618,2012-03-14 17:35:00,2012-03-14 13:58:00,Role 3,3,8
118,Case103,Final Inspection Q.C.,ID4618,2012-03-14 19:04:00,2012-03-14 19:03:00,Role 3,3,8
119,Case103,Packing,ID4820,2012-03-15 08:00:00,2012-03-15 07:00:00,Role 5,12,10
120,Case104,Turning & Milling,ID4529,2012-03-20 09:26:00,2012-03-20 03:43:00,Role 1,21,1
121,Case104,Turning & Milling,ID4529,2012-03-20 13:41:00,2012-03-20 09:27:00,Role 1,21,1
122,Case104,Turning & Milling,ID4429,2012-03-20 18:07:00,2012-03-20 14:00:00,Role 1,21,1
123,Case104,Turning & Milling Q.C.,ID4493,2012-03-20 18:54:00,2012-03-20 16:54:00,Role 3,22,8
124,Case104,Turning & Milling Q.C.,ID4493,2012-03-21 14:41:00,2012-03-21 13:55:00,Role 3,22,8
125,Case104,Laser Marking,ID4718,2012-03-21 16:49:00,2012-03-21 16:21:00,Role 1,8,1
126,Case105,Turning & Milling,ID4167,2012-03-21 13:34:00,2012-03-21 06:18:00,Role 1,21,1
127,Case105,Turning & Milling,ID4932,2012-03-21 17:31:00,2012-03-21 14:18:00,Role 1,21,1
128,Case106,Turning & Milling,ID0997,2012-03-15 22:44:00,2012-03-15 17:14:00,Role 1,21,1
129,Case106,Turning & Milling,ID4219,2012-03-16 03:38:00,2012-03-15 23:55:00,Role 1,21,1
130,Case106,Turning & Milling Q.C.,ID4618,2012-03-19 14:28:00,2012-03-19 14:00:00,Role 3,22,8
131,Case106,Laser Marking,ID0998,2012-03-19 17:51:00,2012-03-19 16:38:00,Role 7,8,12
132,Case106,Flat Grinding,ID4882,2012-03-19 22:20:00,2012-03-19 21:42:00,Role 7,5,12
133,Case106,Final Inspection Q.C.,ID4618,2012-03-22 00:57:00,2012-03-21 22:27:00,Role 3,3,8
134,Case106,Packing,ID4820,2012-03-22 08:00:00,2012-03-22 07:00:00,Role 5,12,10
135,Case106,Final Inspection Q.C.,ID4618,2012-03-22 20:05:00,2012-03-22 18:50:00,Role 3,3,8
136,Case107,Turning & Milling,ID4132,2012-03-30 19:47:00,2012-03-30 14:36:00,Role 1,21,1
137,Case108,Turning & Milling,ID4794,2012-02-27 13:55:00,2012-02-27 08:18:00,Role 1,21,1
138,Case108,Turning & Milling,ID4529,2012-02-27 16:13:00,2012-02-27 13:59:00,Role 1,21,1
139,Case108,Turning & Milling Q.C.,ID4287,2012-02-27 15:40:00,2012-02-27 14:00:00,Role 3,22,8
140,Case108,Turning & Milling,ID4529,2012-02-27 19:38:00,2012-02-27 16:13:00,Role 1,21,1
141,Case108,Turning & Milling Q.C.,ID4287,2012-02-28 21:24:00,2012-02-28 20:20:00,Role 3,22,8
142,Case108,Laser Marking,ID0998,2012-02-29 02:07:00,2012-02-29 00:52:00,Role 7,8,12
143,Case108,Flat Grinding,ID4528,2012-02-29 08:15:00,2012-02-29 07:00:00,Role 2,5,7
144,Case108,Flat Grinding,ID0420,2012-03-01 06:04:00,2012-03-01 05:05:00,Role 2,5,7
145,Case108,Lapping,ID0420,2012-03-01 10:28:00,2012-03-01 09:35:00,Role 2,7,7
146,Case108,Lapping,ID0420,2012-03-01 10:50:00,2012-03-01 09:36:00,Role 2,7,7
147,Case108,Round Grinding,ID4385,2012-03-07 18:16:00,2012-03-07 15:30:00,Role 2,15,7
148,Case108,Round Grinding,ID4385,2012-03-07 21:10:00,2012-03-07 18:18:00,Role 2,15,7
149,Case108,Round Grinding,ID0420,2012-03-07 22:56:00,2012-03-07 21:12:00,Role 2,15,7
150,Case108,Round Grinding,ID4872,2012-03-08 02:30:00,2012-03-07 22:57:00,Role 2,15,7
151,Case108,Final Inspection Q.C.,ID4287,2012-03-08 22:52:00,2012-03-08 18:00:00,Role 3,3,8
152,Case108,Packing,ID4820,2012-03-09 08:00:00,2012-03-09 07:00:00,Role 5,12,10
153,Case108,Final Inspection Q.C.,ID4287,2012-03-09 16:27:00,2012-03-09 16:00:00,Role 3,3,8
154,Case109,Turning & Milling,ID4932,2012-03-05 01:01:00,2012-03-04 18:14:00,Role 1,21,1
155,Case109,Turning & Milling,ID4167,2012-03-05 06:53:00,2012-03-05 00:52:00,Role 1,21,1
156,Case109,Turning & Milling Q.C.,ID4618,2012-03-05 08:15:00,2012-03-05 07:00:00,Role 3,22,8
157,Case109,Turning & Milling,ID4529,2012-03-05 08:08:00,2012-03-05 07:03:00,Role 1,21,1
158,Case109,Turning & Milling,ID4529,2012-03-05 13:43:00,2012-03-05 08:09:00,Role 1,21,1
159,Case109,Turning & Milling,ID4932,2012-03-05 16:41:00,2012-03-05 13:49:00,Role 1,21,1
160,Case109,Turning & Milling Q.C.,ID4618,2012-03-05 15:21:00,2012-03-05 14:00:00,Role 3,22,8
161,Case109,Turning & Milling Q.C.,ID4618,2012-03-05 17:23:00,2012-03-05 17:18:00,Role 3,22,8
162,Case109,Laser Marking,ID0998,2012-03-15 18:26:00,2012-03-15 18:05:00,Role 7,8,12
163,Case109,Round Grinding,ID4355,2012-03-21 13:22:00,2012-03-21 12:03:00,Role 2,15,7
164,Case109,Round Grinding,ID4355,2012-03-21 13:49:00,2012-03-21 13:23:00,Role 2,15,7
165,Case109,Round Grinding,ID4385,2012-03-21 19:08:00,2012-03-21 14:34:00,Role 2,15,7
166,Case109,Round Grinding,ID4445,2012-03-23 08:33:00,2012-03-23 07:40:00,Role 2,15,7
167,Case109,Round Grinding,ID4445,2012-03-23 11:08:00,2012-03-23 08:34:00,Role 2,15,7
168,Case109,Final Inspection Q.C.,ID4618,2012-03-23 17:50:00,2012-03-23 14:25:00,Role 3,3,8
169,Case109,Packing,ID4491,2012-03-25 09:00:00,2012-03-25 08:00:00,Role 5,12,10
170,Case11,Turning & Milling,ID4132,2012-01-16 06:40:00,2012-01-16 01:04:00,Role 1,21,1
171,Case11,Turning & Milling,ID4641,2012-01-16 16:49:00,2012-01-16 13:59:00,Role 1,21,1
172,Case11,Turning & Milling Q.C.,ID4287,2012-01-16 16:54:00,2012-01-16 16:00:00,Role 3,22,8
173,Case11,Turning & Milling,ID4641,2012-01-16 23:22:00,2012-01-16 16:50:00,Role 1,21,1
174,Case11,Turning & Milling,ID4132,2012-01-17 06:38:00,2012-01-17 01:08:00,Role 1,21,1
175,Case11,Turning & Milling,ID4932,2012-01-17 13:37:00,2012-01-17 06:39:00,Role 1,21,1
176,Case11,Turning & Milling,ID4641,2012-01-17 19:01:00,2012-01-17 17:46:00,Role 1,21,1
177,Case11,Turning & Milling Q.C.,ID4287,2012-01-18 15:38:00,2012-01-18 14:00:00,Role 3,22,8
178,Case11,Turning & Milling,ID4641,2012-01-18 16:50:00,2012-01-18 15:35:00,Role 1,21,1
179,Case11,Turning & Milling,ID4641,2012-01-18 16:56:00,2012-01-18 15:36:00,Role 1,21,1
180,Case11,Turning & Milling,ID4641,2012-01-18 22:32:00,2012-01-18 16:57:00,Role 1,21,1
181,Case11,Turning & Milling Q.C.,ID4618,2012-01-18 18:29:00,2012-01-18 17:14:00,Role 3,22,8
182,Case11,Turning & Milling,ID4641,2012-01-19 16:00:00,2012-01-19 14:39:00,Role 1,21,1
183,Case11,Turning & Milling,ID4641,2012-01-19 23:00:00,2012-01-19 16:01:00,Role 1,21,1
184,Case11,Turning & Milling,ID4132,2012-01-20 02:21:00,2012-01-19 23:08:00,Role 1,21,1
185,Case11,Laser Marking,ID4882,2012-01-22 22:33:00,2012-01-22 22:01:00,Role 7,8,12
186,Case11,Turning & Milling Q.C.,ID4618,2012-01-23 16:25:00,2012-01-23 16:24:00,Role 3,22,8
187,Case11,Laser Marking,ID4882,2012-01-24 23:06:00,2012-01-24 21:41:00,Role 7,8,12
188,Case11,Packing,ID4820,2012-01-25 08:00:00,2012-01-25 07:00:00,Role 5,12,10
189,Case11,Final Inspection Q.C.,ID4618,2012-01-25 21:09:00,2012-01-25 18:11:00,Role 3,3,8
190,Case11,Turning & Milling Q.C.,ID4618,2012-01-25 21:11:00,2012-01-25 21:10:00,Role 3,22,8
191,Case110,Turning & Milling,ID4794,2012-03-01 13:35:00,2012-03-01 10:49:00,Role 1,21,1
192,Case110,Turning & Milling,ID4529,2012-03-01 19:36:00,2012-03-01 13:57:00,Role 1,21,1
193,Case110,Turning & Milling Q.C.,ID4163,2012-03-01 18:00:00,2012-03-01 17:00:00,Role 3,22,8
194,Case110,Turning & Milling,ID4529,2012-03-01 22:46:00,2012-03-01 19:37:00,Role 1,21,1
195,Case110,Turning & Milling,ID4794,2012-03-02 13:27:00,2012-03-02 03:16:00,Role 1,21,1
196,Case110,Turning & Milling,ID4167,2012-03-02 19:47:00,2012-03-02 13:45:00,Role 1,21,1
197,Case110,Turning & Milling,ID4529,2012-03-04 07:26:00,2012-03-03 20:00:00,Role 1,21,1
198,Case110,Turning & Milling,ID4641,2012-03-04 13:46:00,2012-03-04 06:36:00,Role 1,21,1
199,Case110,Turning & Milling Q.C.,ID4618,2012-03-04 14:51:00,2012-03-04 14:20:00,Role 3,22,8
200,Case110,Turning & Milling Q.C.,ID4618,2012-03-06 14:29:00,2012-03-06 14:22:00,Role 3,22,8
201,Case110,Turning & Milling,ID4794,2012-03-06 14:29:00,2012-03-06 14:28:00,Role 1,21,1
202,Case110,Turning & Milling,ID4529,2012-03-08 11:17:00,2012-03-08 08:08:00,Role 1,21,1
203,Case110,Turning & Milling,ID4794,2012-03-08 18:37:00,2012-03-08 14:11:00,Role 1,21,1
204,Case110,Turning & Milling,ID4794,2012-03-08 22:52:00,2012-03-08 18:37:00,Role 1,21,1
205,Case110,Turning & Milling,ID4167,2012-03-09 06:40:00,2012-03-08 22:54:00,Role 1,21,1
206,Case110,Turning & Milling,ID4529,2012-03-09 13:51:00,2012-03-09 08:48:00,Role 1,21,1
207,Case110,Turning & Milling Q.C.,ID4618,2012-03-09 14:32:00,2012-03-09 13:50:00,Role 3,22,8
208,Case110,Turning & Milling,ID4429,2012-03-09 19:27:00,2012-03-09 14:59:00,Role 1,21,1
209,Case110,Turning & Milling,ID4794,2012-03-11 13:35:00,2012-03-10 20:00:00,Role 1,21,1
210,Case110,Turning & Milling,ID4932,2012-03-11 17:54:00,2012-03-11 06:26:00,Role 1,21,1
211,Case110,Turning & Milling,ID4529,2012-03-11 23:09:00,2012-03-11 13:55:00,Role 1,21,1
212,Case110,Turning & Milling Q.C.,ID4618,2012-03-11 14:42:00,2012-03-11 13:58:00,Role 3,22,8
213,Case110,Turning & Milling Q.C.,ID4618,2012-03-11 16:17:00,2012-03-11 15:02:00,Role 3,22,8
214,Case110,Turning & Milling,ID4429,2012-03-12 03:12:00,2012-03-11 23:11:00,Role 1,21,1
215,Case110,Turning & Milling Q.C.,ID4618,2012-03-12 15:08:00,2012-03-12 15:00:00,Role 3,22,8
216,Case110,Turning & Milling Q.C.,ID4618,2012-03-12 16:28:00,2012-03-12 15:13:00,Role 3,22,8
217,Case110,Turning & Milling Q.C.,ID4618,2012-03-12 16:33:00,2012-03-12 16:28:00,Role 3,22,8
218,Case110,Turning & Milling,ID4794,2012-03-16 13:47:00,2012-03-16 06:10:00,Role 1,21,1
219,Case110,Turning & Milling Q.C.,ID4618,2012-03-16 15:32:00,2012-03-16 13:58:00,Role 3,22,8
220,Case110,Turning & Milling,ID4529,2012-03-16 19:49:00,2012-03-16 14:13:00,Role 1,21,1
221,Case110,Turning & Milling,ID4641,2012-03-18 09:26:00,2012-03-17 20:24:00,Role 1,21,1
222,Case110,Turning & Milling,ID4932,2012-03-18 18:30:00,2012-03-18 06:54:00,Role 1,21,1
223,Case110,Laser Marking,ID0998,2012-03-19 23:06:00,2012-03-19 19:29:00,Role 7,8,12
224,Case110,Flat Grinding,ID4528,2012-03-20 00:43:00,2012-03-19 23:24:00,Role 2,5,7
225,Case110,Laser Marking,ID0997,2012-03-20 05:32:00,2012-03-20 04:29:00,Role 1,8,1
226,Case110,Turning & Milling Q.C.,ID4618,2012-03-20 16:44:00,2012-03-20 13:52:00,Role 3,22,8
227,Case110,Flat Grinding,ID4528,2012-03-20 19:13:00,2012-03-20 14:16:00,Role 2,5,7
228,Case110,Lapping,ID0998,2012-03-20 18:58:00,2012-03-20 16:46:00,Role 7,7,12
229,Case110,Turning & Milling Q.C.,ID4618,2012-03-20 19:51:00,2012-03-20 18:36:00,Role 3,22,8
230,Case110,Turning & Milling Q.C.,ID4618,2012-03-20 20:41:00,2012-03-20 19:45:00,Role 3,22,8
231,Case110,Turning & Milling,ID4794,2012-03-22 18:51:00,2012-03-22 14:33:00,Role 1,21,1
232,Case110,Turning & Milling Q.C.,ID4618,2012-03-22 18:46:00,2012-03-22 18:30:00,Role 3,22,8
233,Case110,Turning & Milling,ID4794,2012-03-22 20:30:00,2012-03-22 18:51:00,Role 1,21,1
234,Case110,Lapping,ID4718,2012-03-22 21:33:00,2012-03-22 19:15:00,Role 1,7,1
235,Case110,Lapping,ID0998,2012-03-22 23:22:00,2012-03-22 20:42:00,Role 7,7,12
236,Case110,Flat Grinding,ID0998,2012-03-23 00:37:00,2012-03-22 23:22:00,Role 7,5,12
237,Case110,Turning & Milling,ID4794,2012-03-23 06:30:00,2012-03-22 23:30:00,Role 1,21,1
238,Case110,Lapping,ID4882,2012-03-23 08:15:00,2012-03-23 07:00:00,Role 7,7,12
239,Case110,Turning & Milling Q.C.,ID4618,2012-03-23 14:24:00,2012-03-23 14:03:00,Role 3,22,8
240,Case110,Turning & Milling,ID4794,2012-03-23 19:42:00,2012-03-23 14:12:00,Role 1,21,1
241,Case110,Lapping,ID0998,2012-03-23 18:39:00,2012-03-23 18:38:00,Role 7,7,12
242,Case110,Turning & Milling,ID4167,2012-03-24 14:00:00,2012-03-24 03:59:00,Role 1,21,1
243,Case110,Turning & Milling,ID4794,2012-03-25 11:35:00,2012-03-24 20:33:00,Role 1,21,1
244,Case110,Turning & Milling,ID4932,2012-03-25 20:58:00,2012-03-25 06:51:00,Role 1,21,1
245,Case110,Lapping,ID4882,2012-03-26 09:15:00,2012-03-26 08:00:00,Role 7,7,12
246,Case110,Laser Marking,ID4882,2012-03-26 15:16:00,2012-03-26 15:03:00,Role 7,8,12
247,Case110,Lapping,ID4882,2012-03-27 09:15:00,2012-03-27 08:00:00,Role 7,7,12
248,Case110,Turning & Milling Q.C.,ID4618,2012-03-28 17:48:00,2012-03-28 17:47:00,Role 3,22,8
249,Case110,Round Grinding,ID4445,2012-03-28 21:55:00,2012-03-28 21:07:00,Role 2,15,7
250,Case110,Round Grinding,ID4872,2012-03-28 23:57:00,2012-03-28 22:13:00,Role 2,15,7
251,Case110,Round Grinding,ID4528,2012-03-29 04:12:00,2012-03-29 00:01:00,Role 2,15,7
252,Case110,Round Grinding,ID0420,2012-03-29 13:26:00,2012-03-29 04:09:00,Role 2,15,7
253,Case110,Packing,ID4820,2012-03-29 09:00:00,2012-03-29 08:00:00,Role 5,12,10
254,Case110,Packing,ID4820,2012-03-29 09:00:00,2012-03-29 08:00:00,Role 5,12,10
