caseid,task,user,start_timestamp,end_timestamp
Case10,Turning & Milling,ID4794,2012/01/20 03:09:00,2012/01/20 12:10:00
Case10,Turning & Milling,ID4641,2012/01/22 09:42:00,2012/01/22 13:34:00
Case10,Turning & Milling,ID3846,2012/01/22 14:00:00,2012/01/22 14:13:00
Case10,Turning & Milling,ID3846,2012/01/22 16:02:00,2012/01/23 00:47:00
Case10,Turning Q.C.,ID4618,2012/01/23 14:54:00,2012/01/23 17:26:00
Case10,Laser Marking,ID4794,2012/01/25 16:31:00,2012/01/25 17:57:00
Case10,Laser Marking,ID4882,2012/01/25 18:00:00,2012/01/25 19:54:00
Case10,Laser Marking,ID4882,2012/01/25 20:22:00,2012/01/25 21:09:00
Case10,Flat Grinding,ID0998,2012/01/27 17:30:00,2012/01/27 20:00:00
Case10,Flat Grinding,ID0998,2012/01/29 15:09:00,2012/01/29 22:06:00
Case10,Flat Grinding,ID0998,2012/01/30 22:19:00,2012/01/30 23:59:00
Case10,Final Inspection Q.C.,ID4618,2012/02/02 19:38:00,2012/02/02 21:16:00
Case10,Packing,ID4820,2012/02/03 07:00:00,2012/02/03 08:00:00
Case100,Turning & Milling,ID4219,2012/02/21 00:09:00,2012/02/21 00:57:00
Case100,Turning & Milling,ID4529,2012/02/21 05:57:00,2012/02/21 09:57:00
Case100,Turning & Milling,ID4219,2012/02/21 13:45:00,2012/02/21 18:03:00
Case100,Turning & Milling,ID4219,2012/02/21 18:04:00,2012/02/21 19:08:00
Case100,Turning & Milling Q.C.,ID4618,2012/02/22 21:48:00,2012/02/22 22:10:00
Case100,Laser Marking,ID0998,2012/03/11 18:05:00,2012/03/11 18:06:00
Case100,Flat Grinding,ID0998,2012/03/11 19:23:00,2012/03/11 19:45:00
Case100,Lapping,ID4882,2012/03/11 19:46:00,2012/03/11 20:18:00
Case100,Round Grinding,ID4445,2012/03/13 17:34:00,2012/03/13 17:41:00
Case100,Round Grinding,ID4445,2012/03/13 17:41:00,2012/03/13 22:12:00
Case100,Grinding Rework,ID4872,2012/03/16 18:30:00,2012/03/16 19:40:00
Case100,Final Inspection Q.C.,ID4618,2012/03/19 18:21:00,2012/03/19 21:06:00
Case100,Packing,ID4820,2012/03/21 07:00:00,2012/03/21 08:00:00
Case100,Final Inspection Q.C.,ID4618,2012/03/21 14:02:00,2012/03/21 14:03:00
Case101,Setup,ID4219,2012/03/14 01:47:00,2012/03/14 03:03:00
Case101,Turning & Milling,ID4219,2012/03/14 03:38:00,2012/03/14 06:03:00
Case101,Turning & Milling,ID4219,2012/03/14 06:04:00,2012/03/14 06:49:00
Case101,Turning & Milling,ID4219,2012/03/14 06:50:00,2012/03/14 08:06:00
Case101,Turning & Milling,ID4794,2012/03/14 08:06:00,2012/03/14 13:28:00
Case101,Turning & Milling,ID0997,2012/03/14 14:02:00,2012/03/14 14:48:00
Case101,Turning & Milling,ID0997,2012/03/14 14:49:00,2012/03/14 18:10:00
Case101,Turning & Milling,ID0997,2012/03/14 18:11:00,2012/03/14 20:30:00
Case101,Turning & Milling Q.C.,ID4618,2012/03/14 20:33:00,2012/03/14 21:48:00
Case101,Flat Grinding,ID0998,2012/03/15 16:55:00,2012/03/15 17:55:00
Case101,Lapping,ID0998,2012/03/23 18:00:00,2012/03/23 19:40:00
Case101,Round Grinding,ID4528,2012/03/25 06:15:00,2012/03/25 07:45:00
Case101,Round Grinding,ID4528,2012/03/25 07:45:00,2012/03/25 14:45:00
Case101,Final Inspection Q.C.,ID4618,2012/03/25 14:50:00,2012/03/25 19:31:00
Case101,Lapping,ID0998,2012/03/25 18:00:00,2012/03/25 19:00:00
Case101,Laser Marking,ID0998,2012/03/25 19:15:00,2012/03/25 19:29:00
Case101,Packing,ID4820,2012/03/26 08:00:00,2012/03/26 09:00:00
Case102,Turning & Milling,ID4219,2012/02/27 23:40:00,2012/02/28 04:09:00
Case102,Turning & Milling,ID4219,2012/02/28 04:46:00,2012/02/28 08:23:00
Case102,Turning & Milling,ID0997,2012/02/28 18:00:00,2012/02/28 20:26:00
Case102,Turning & Milling,ID0997,2012/02/28 21:20:00,2012/02/28 23:12:00
Case102,Turning & Milling Q.C.,ID4287,2012/02/28 21:35:00,2012/02/28 22:25:00
Case102,Turning & Milling,ID0997,2012/02/28 23:12:00,2012/02/29 00:56:00
Case102,Turning & Milling,ID4219,2012/02/29 04:28:00,2012/02/29 08:29:00
Case102,Turning & Milling,ID4794,2012/02/29 08:30:00,2012/02/29 11:31:00
Case102,Turning & Milling,ID0997,2012/02/29 14:32:00,2012/02/29 18:05:00
Case102,Turning & Milling,ID0997,2012/02/29 18:05:00,2012/02/29 23:00:00
Case102,Turning & Milling Q.C.,ID4287,2012/02/29 22:00:00,2012/02/29 23:00:00
Case102,Turning & Milling,ID0997,2012/02/29 23:00:00,2012/03/01 00:20:00
Case102,Turning & Milling Q.C.,ID4287,2012/02/29 23:04:00,2012/02/29 23:36:00
Case102,Turning & Milling,ID0997,2012/03/01 00:19:00,2012/03/01 00:48:00
Case102,Turning & Milling,ID4219,2012/03/01 05:27:00,2012/03/01 07:11:00
Case102,Turning & Milling Q.C.,ID4287,2012/03/01 16:30:00,2012/03/01 17:49:00
Case102,Turning & Milling Q.C.,ID4287,2012/03/06 07:00:00,2012/03/06 08:15:00
Case102,Laser Marking,ID0998,2012/03/08 20:32:00,2012/03/08 21:41:00
Case102,Lapping,ID4882,2012/03/09 07:00:00,2012/03/09 08:15:00
Case102,Lapping,ID0998,2012/03/11 16:38:00,2012/03/11 18:04:00
Case102,Round Grinding,ID4528,2012/03/12 02:25:00,2012/03/12 03:00:00
Case102,Round Grinding,ID4528,2012/03/12 03:00:00,2012/03/12 06:40:00
Case102,Round Grinding,ID4445,2012/03/12 14:03:00,2012/03/12 15:04:00
Case102,Round Grinding,ID4445,2012/03/12 14:50:00,2012/03/12 15:09:00
Case102,Round Grinding,ID4287,2012/03/12 15:02:00,2012/03/12 15:09:00
Case102,Round Grinding,ID4287,2012/03/12 15:10:00,2012/03/12 17:57:00
Case102,Round Grinding,ID4445,2012/03/12 17:00:00,2012/03/12 17:58:00
Case102,Final Inspection Q.C.,ID4287,2012/03/12 21:00:00,2012/03/13 00:00:00
Case102,Final Inspection Q.C.,ID4287,2012/03/13 15:00:00,2012/03/13 15:06:00
Case102,Packing,ID4820,2012/03/14 07:00:00,2012/03/14 08:00:00
Case103,Turning & Milling,ID4219,2012/03/06 16:10:00,2012/03/06 17:18:00
Case103,Turning & Milling,ID0997,2012/03/08 11:19:00,2012/03/08 13:51:00
Case103,Turning & Milling,ID4219,2012/03/08 17:04:00,2012/03/08 23:38:00
Case103,Turning & Milling,ID0997,2012/03/09 03:24:00,2012/03/09 11:35:00
Case103,Turning & Milling,ID0997,2012/03/09 11:35:00,2012/03/09 14:27:00
Case103,Turning & Milling Q.C.,ID4618,2012/03/09 14:32:00,2012/03/09 17:38:00
Case103,Turning & Milling,ID4219,2012/03/09 14:32:00,2012/03/09 17:27:00
Case103,Turning & Milling Q.C.,ID4618,2012/03/11 14:42:00,2012/03/11 15:16:00
Case103,Turning & Milling,ID0997,2012/03/11 16:03:00,2012/03/11 17:37:00
Case103,Turning & Milling,ID0997,2012/03/11 17:37:00,2012/03/11 18:48:00
Case103,Turning & Milling,ID0997,2012/03/11 18:49:00,2012/03/11 23:09:00
Case103,Turning & Milling,ID4219,2012/03/11 23:35:00,2012/03/12 01:35:00
Case103,Turning & Milling Q.C.,ID4618,2012/03/12 15:27:00,2012/03/12 15:28:00
Case103,Laser Marking,ID4355,2012/03/13 16:54:00,2012/03/13 17:46:00
Case103,Flat Grinding,ID0998,2012/03/13 20:27:00,2012/03/13 21:04:00
Case103,Final Inspection Q.C.,ID4618,2012/03/13 21:07:00,2012/03/14 00:57:00
Case103,Final Inspection Q.C.,ID4618,2012/03/14 13:58:00,2012/03/14 17:35:00
Case103,Final Inspection Q.C.,ID4618,2012/03/14 19:03:00,2012/03/14 19:04:00
Case103,Packing,ID4820,2012/03/15 07:00:00,2012/03/15 08:00:00
Case104,Turning & Milling,ID4529,2012/03/20 03:43:00,2012/03/20 09:26:00
Case104,Turning & Milling,ID4529,2012/03/20 09:27:00,2012/03/20 13:41:00
Case104,Turning & Milling,ID4429,2012/03/20 14:00:00,2012/03/20 18:07:00
Case104,Turning & Milling Q.C.,ID4493,2012/03/20 16:54:00,2012/03/20 18:54:00
Case104,Turning & Milling Q.C.,ID4493,2012/03/21 13:55:00,2012/03/21 14:41:00
Case104,Laser Marking,ID4718,2012/03/21 16:21:00,2012/03/21 16:49:00
Case105,Turning & Milling,ID4167,2012/03/21 06:18:00,2012/03/21 13:34:00
Case105,Turning & Milling,ID4932,2012/03/21 14:18:00,2012/03/21 17:31:00
Case106,Turning & Milling,ID0997,2012/03/15 17:14:00,2012/03/15 22:44:00
Case106,Turning & Milling,ID4219,2012/03/15 23:55:00,2012/03/16 03:38:00
Case106,Turning & Milling Q.C.,ID4618,2012/03/19 14:00:00,2012/03/19 14:28:00
Case106,Laser Marking,ID0998,2012/03/19 16:38:00,2012/03/19 17:51:00
Case106,Flat Grinding,ID4882,2012/03/19 21:42:00,2012/03/19 22:20:00
Case106,Final Inspection Q.C.,ID4618,2012/03/21 22:27:00,2012/03/22 00:57:00
Case106,Packing,ID4820,2012/03/22 07:00:00,2012/03/22 08:00:00
Case106,Final Inspection Q.C.,ID4618,2012/03/22 18:50:00,2012/03/22 20:05:00
Case107,Turning & Milling,ID4132,2012/03/30 14:36:00,2012/03/30 19:47:00
Case108,Turning & Milling,ID4794,2012/02/27 08:18:00,2012/02/27 13:55:00
Case108,Turning & Milling,ID4529,2012/02/27 13:59:00,2012/02/27 16:13:00
Case108,Turning & Milling Q.C.,ID4287,2012/02/27 14:00:00,2012/02/27 15:40:00
Case108,Turning & Milling,ID4529,2012/02/27 16:13:00,2012/02/27 19:38:00
Case108,Turning & Milling Q.C.,ID4287,2012/02/28 20:20:00,2012/02/28 21:24:00
Case108,Laser Marking,ID0998,2012/02/29 00:52:00,2012/02/29 02:07:00
Case108,Flat Grinding,ID4528,2012/02/29 07:00:00,2012/02/29 08:15:00
Case108,Flat Grinding,ID0420,2012/03/01 05:05:00,2012/03/01 06:04:00
Case108,Lapping,ID0420,2012/03/01 09:35:00,2012/03/01 10:28:00
Case108,Lapping,ID0420,2012/03/01 09:36:00,2012/03/01 10:50:00
Case108,Round Grinding,ID4385,2012/03/07 15:30:00,2012/03/07 18:16:00
Case108,Round Grinding,ID4385,2012/03/07 18:18:00,2012/03/07 21:10:00
Case108,Round Grinding,ID0420,2012/03/07 21:12:00,2012/03/07 22:56:00
Case108,Round Grinding,ID4872,2012/03/07 22:57:00,2012/03/08 02:30:00
Case108,Final Inspection Q.C.,ID4287,2012/03/08 18:00:00,2012/03/08 22:52:00
Case108,Packing,ID4820,2012/03/09 07:00:00,2012/03/09 08:00:00
Case108,Final Inspection Q.C.,ID4287,2012/03/09 16:00:00,2012/03/09 16:27:00
Case109,Turning & Milling,ID4932,2012/03/04 18:14:00,2012/03/05 01:01:00
Case109,Turning & Milling,ID4167,2012/03/05 00:52:00,2012/03/05 06:53:00
Case109,Turning & Milling Q.C.,ID4618,2012/03/05 07:00:00,2012/03/05 08:15:00
Case109,Turning & Milling,ID4529,2012/03/05 07:03:00,2012/03/05 08:08:00
Case109,Turning & Milling,ID4529,2012/03/05 08:09:00,2012/03/05 13:43:00
Case109,Turning & Milling,ID4932,2012/03/05 13:49:00,2012/03/05 16:41:00
Case109,Turning & Milling Q.C.,ID4618,2012/03/05 14:00:00,2012/03/05 15:21:00
Case109,Turning & Milling Q.C.,ID4618,2012/03/05 17:18:00,2012/03/05 17:23:00
Case109,Laser Marking,ID0998,2012/03/15 18:05:00,2012/03/15 18:26:00
Case109,Round Grinding,ID4355,2012/03/21 12:03:00,2012/03/21 13:22:00
Case109,Round Grinding,ID4355,2012/03/21 13:23:00,2012/03/21 13:49:00
Case109,Round Grinding,ID4385,2012/03/21 14:34:00,2012/03/21 19:08:00
Case109,Round Grinding,ID4445,2012/03/23 07:40:00,2012/03/23 08:33:00
Case109,Round Grinding,ID4445,2012/03/23 08:34:00,2012/03/23 11:08:00
Case109,Final Inspection Q.C.,ID4618,2012/03/23 14:25:00,2012/03/23 17:50:00
Case109,Packing,ID4491,2012/03/25 08:00:00,2012/03/25 09:00:00
Case11,Turning & Milling,ID4132,2012/01/16 01:04:00,2012/01/16 06:40:00
Case11,Turning & Milling,ID4641,2012/01/16 13:59:00,2012/01/16 16:49:00
Case11,Turning & Milling Q.C.,ID4287,2012/01/16 16:00:00,2012/01/16 16:54:00
Case11,Turning & Milling,ID4641,2012/01/16 16:50:00,2012/01/16 23:22:00
Case11,Turning & Milling,ID4132,2012/01/17 01:08:00,2012/01/17 06:38:00
Case11,Turning & Milling,ID4932,2012/01/17 06:39:00,2012/01/17 13:37:00
Case11,Turning & Milling,ID4641,2012/01/17 17:46:00,2012/01/17 19:01:00
Case11,Turning & Milling Q.C.,ID4287,2012/01/18 14:00:00,2012/01/18 15:38:00
Case11,Turning & Milling,ID4641,2012/01/18 15:35:00,2012/01/18 16:50:00
Case11,Turning & Milling,ID4641,2012/01/18 15:36:00,2012/01/18 16:56:00
Case11,Turning & Milling,ID4641,2012/01/18 16:57:00,2012/01/18 22:32:00
Case11,Turning & Milling Q.C.,ID4618,2012/01/18 17:14:00,2012/01/18 18:29:00
Case11,Turning & Milling,ID4641,2012/01/19 14:39:00,2012/01/19 16:00:00
Case11,Turning & Milling,ID4641,2012/01/19 16:01:00,2012/01/19 23:00:00
Case11,Turning & Milling,ID4132,2012/01/19 23:08:00,2012/01/20 02:21:00
Case11,Laser Marking,ID4882,2012/01/22 22:01:00,2012/01/22 22:33:00
Case11,Turning & Milling Q.C.,ID4618,2012/01/23 16:24:00,2012/01/23 16:25:00
Case11,Laser Marking,ID4882,2012/01/24 21:41:00,2012/01/24 23:06:00
Case11,Packing,ID4820,2012/01/25 07:00:00,2012/01/25 08:00:00
Case11,Final Inspection Q.C.,ID4618,2012/01/25 18:11:00,2012/01/25 21:09:00
Case11,Turning & Milling Q.C.,ID4618,2012/01/25 21:10:00,2012/01/25 21:11:00
Case110,Turning & Milling,ID4794,2012/03/01 10:49:00,2012/03/01 13:35:00
Case110,Turning & Milling,ID4529,2012/03/01 13:57:00,2012/03/01 19:36:00
Case110,Turning & Milling Q.C.,ID4163,2012/03/01 17:00:00,2012/03/01 18:00:00
Case110,Turning & Milling,ID4529,2012/03/01 19:37:00,2012/03/01 22:46:00
Case110,Turning & Milling,ID4794,2012/03/02 03:16:00,2012/03/02 13:27:00
Case110,Turning & Milling,ID4167,2012/03/02 13:45:00,2012/03/02 19:47:00
Case110,Turning & Milling,ID4529,2012/03/03 20:00:00,2012/03/04 07:26:00
Case110,Turning & Milling,ID4641,2012/03/04 06:36:00,2012/03/04 13:46:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/04 14:20:00,2012/03/04 14:51:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/06 14:22:00,2012/03/06 14:29:00
Case110,Turning & Milling,ID4794,2012/03/06 14:28:00,2012/03/06 14:29:00
Case110,Turning & Milling,ID4529,2012/03/08 08:08:00,2012/03/08 11:17:00
Case110,Turning & Milling,ID4794,2012/03/08 14:11:00,2012/03/08 18:37:00
Case110,Turning & Milling,ID4794,2012/03/08 18:37:00,2012/03/08 22:52:00
Case110,Turning & Milling,ID4167,2012/03/08 22:54:00,2012/03/09 06:40:00
Case110,Turning & Milling,ID4529,2012/03/09 08:48:00,2012/03/09 13:51:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/09 13:50:00,2012/03/09 14:32:00
Case110,Turning & Milling,ID4429,2012/03/09 14:59:00,2012/03/09 19:27:00
Case110,Turning & Milling,ID4794,2012/03/10 20:00:00,2012/03/11 13:35:00
Case110,Turning & Milling,ID4932,2012/03/11 06:26:00,2012/03/11 17:54:00
Case110,Turning & Milling,ID4529,2012/03/11 13:55:00,2012/03/11 23:09:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/11 13:58:00,2012/03/11 14:42:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/11 15:02:00,2012/03/11 16:17:00
Case110,Turning & Milling,ID4429,2012/03/11 23:11:00,2012/03/12 03:12:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/12 15:00:00,2012/03/12 15:08:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/12 15:13:00,2012/03/12 16:28:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/12 16:28:00,2012/03/12 16:33:00
Case110,Turning & Milling,ID4794,2012/03/16 06:10:00,2012/03/16 13:47:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/16 13:58:00,2012/03/16 15:32:00
Case110,Turning & Milling,ID4529,2012/03/16 14:13:00,2012/03/16 19:49:00
Case110,Turning & Milling,ID4641,2012/03/17 20:24:00,2012/03/18 09:26:00
Case110,Turning & Milling,ID4932,2012/03/18 06:54:00,2012/03/18 18:30:00
Case110,Laser Marking,ID0998,2012/03/19 19:29:00,2012/03/19 23:06:00
Case110,Flat Grinding,ID4528,2012/03/19 23:24:00,2012/03/20 00:43:00
Case110,Laser Marking,ID0997,2012/03/20 04:29:00,2012/03/20 05:32:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/20 13:52:00,2012/03/20 16:44:00
Case110,Flat Grinding,ID4528,2012/03/20 14:16:00,2012/03/20 19:13:00
Case110,Lapping,ID0998,2012/03/20 16:46:00,2012/03/20 18:58:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/20 18:36:00,2012/03/20 19:51:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/20 19:45:00,2012/03/20 20:41:00
Case110,Turning & Milling,ID4794,2012/03/22 14:33:00,2012/03/22 18:51:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/22 18:30:00,2012/03/22 18:46:00
Case110,Turning & Milling,ID4794,2012/03/22 18:51:00,2012/03/22 20:30:00
Case110,Lapping,ID4718,2012/03/22 19:15:00,2012/03/22 21:33:00
Case110,Lapping,ID0998,2012/03/22 20:42:00,2012/03/22 23:22:00
Case110,Flat Grinding,ID0998,2012/03/22 23:22:00,2012/03/23 00:37:00
Case110,Turning & Milling,ID4794,2012/03/22 23:30:00,2012/03/23 06:30:00
Case110,Lapping,ID4882,2012/03/23 07:00:00,2012/03/23 08:15:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/23 14:03:00,2012/03/23 14:24:00
Case110,Turning & Milling,ID4794,2012/03/23 14:12:00,2012/03/23 19:42:00
Case110,Lapping,ID0998,2012/03/23 18:38:00,2012/03/23 18:39:00
Case110,Turning & Milling,ID4167,2012/03/24 03:59:00,2012/03/24 14:00:00
Case110,Turning & Milling,ID4794,2012/03/24 20:33:00,2012/03/25 11:35:00
Case110,Turning & Milling,ID4932,2012/03/25 06:51:00,2012/03/25 20:58:00
Case110,Lapping,ID4882,2012/03/26 08:00:00,2012/03/26 09:15:00
Case110,Laser Marking,ID4882,2012/03/26 15:03:00,2012/03/26 15:16:00
Case110,Lapping,ID4882,2012/03/27 08:00:00,2012/03/27 09:15:00
Case110,Turning & Milling Q.C.,ID4618,2012/03/28 17:47:00,2012/03/28 17:48:00
Case110,Round Grinding,ID4445,2012/03/28 21:07:00,2012/03/28 21:55:00
Case110,Round Grinding,ID4872,2012/03/28 22:13:00,2012/03/28 23:57:00
Case110,Round Grinding,ID4528,2012/03/29 00:01:00,2012/03/29 04:12:00
Case110,Round Grinding,ID0420,2012/03/29 04:09:00,2012/03/29 13:26:00
Case110,Packing,ID4820,2012/03/29 08:00:00,2012/03/29 09:00:00
Case110,Packing,ID4820,2012/03/29 08:00:00,2012/03/29 09:00:00
Case110,Round Grinding,ID4445,2012/03/29 13:30:00,2012/03/29 14:50:00
Case110,Round Grinding,ID4872,2012/03/29 14:59:00,2012/03/29 17:58:00
Case110,Flat Grinding,ID0998,2012/03/29 16:19:00,2012/03/29 16:20:00
Case110,Lapping,ID0998,2012/03/29 16:21:00,2012/03/29 17:36:00
Case110,Final Inspection Q.C.,ID4618,2012/03/29 17:20:00,2012/03/29 18:29:00
Case110,Round Grinding,ID4445,2012/03/29 18:39:00,2012/03/29 23:43:00
Case110,Round Grinding,ID4528,2012/03/29 23:59:00,2012/03/30 01:53:00
Case110,Packing,ID4491,2012/03/30 08:00:00,2012/03/30 09:00:00
Case110,Final Inspection Q.C.,ID4618,2012/03/30 15:21:00,2012/03/30 18:28:00
Case111,Turning,ID4932,2012/03/13 04:10:00,2012/03/13 07:13:00
Case111,Turning,ID4932,2012/03/13 07:13:00,2012/03/13 13:39:00
Case111,Turning,ID4167,2012/03/13 14:10:00,2012/03/13 23:10:00
Case111,Turning,ID4429,2012/03/13 23:14:00,2012/03/14 02:42:00
Case111,Turning,ID4932,2012/03/14 02:44:00,2012/03/14 13:45:00
Case111,Turning,ID4167,2012/03/14 13:58:00,2012/03/14 17:59:00
Case111,Turning Q.C.,ID4493,2012/03/14 20:50:00,2012/03/14 22:05:00
Case111,Turning & Milling,ID4932,2012/03/22 18:14:00,2012/03/23 00:50:00
Case111,Turning & Milling,ID4167,2012/03/23 03:00:00,2012/03/23 14:00:00
Case111,Turning & Milling,ID4794,2012/03/23 14:00:00,2012/03/23 19:41:00
Case111,Turning,ID4794,2012/03/23 14:09:00,2012/03/23 19:41:00
Case111,Turning,ID4932,2012/03/24 13:31:00,2012/03/24 22:53:00
Case111,Turning & Milling,ID4932,2012/03/24 20:51:00,2012/03/24 22:52:00
Case111,Turning & Milling,ID4794,2012/03/25 06:52:00,2012/03/25 14:45:00
Case111,Turning & Milling,ID4167,2012/03/25 15:06:00,2012/03/25 23:32:00
Case111,Turning & Milling,ID4932,2012/03/26 03:54:00,2012/03/26 14:43:00
Case111,Turning & Milling Q.C.,ID4493,2012/03/26 15:21:00,2012/03/26 17:22:00
Case111,Laser Marking,ID0998,2012/03/26 23:42:00,2012/03/27 00:00:00
Case111,Laser Marking,ID4882,2012/03/27 00:02:00,2012/03/27 01:43:00
Case111,Turning & Milling,ID4167,2012/03/27 08:51:00,2012/03/27 15:52:00
Case111,Turning & Milling Q.C.,ID4493,2012/03/27 15:00:00,2012/03/27 15:35:00
Case111,Turning & Milling Q.C.,ID4493,2012/03/27 15:00:00,2012/03/27 18:59:00
Case111,Turning & Milling,ID4167,2012/03/27 18:56:00,2012/03/28 14:56:00
Case111,Laser Marking,ID0998,2012/03/27 19:10:00,2012/03/27 21:26:00
Case112,Turning & Milling,ID4641,2012/03/08 13:13:00,2012/03/08 13:51:00
Case112,Turning & Milling,ID3846,2012/03/13 21:01:00,2012/03/14 00:48:00
Case112,Turning & Milling,ID4132,2012/03/14 04:28:00,2012/03/14 06:10:00
Case112,Turning & Milling Q.C.,ID4287,2012/03/14 14:00:00,2012/03/14 15:40:00
Case112,Turning & Milling,ID3846,2012/03/14 15:15:00,2012/03/14 16:02:00
Case112,Turning & Milling,ID3846,2012/03/14 16:02:00,2012/03/14 20:21:00
Case112,Turning & Milling,ID4132,2012/03/14 23:10:00,2012/03/15 00:51:00
Case112,Turning & Milling,ID4794,2012/03/15 03:43:00,2012/03/15 13:48:00
Case112,Turning & Milling,ID3846,2012/03/15 15:22:00,2012/03/15 16:43:00
Case112,Turning & Milling,ID3846,2012/03/15 16:44:00,2012/03/16 00:22:00
Case112,Turning & Milling,ID4794,2012/03/16 04:04:00,2012/03/16 13:47:00
Case112,Turning & Milling,ID4641,2012/03/18 10:18:00,2012/03/18 13:50:00
Case112,Turning & Milling Q.C.,ID4287,2012/03/18 19:00:00,2012/03/18 19:33:00
Case112,Turning & Milling Q.C.,ID4287,2012/03/18 19:00:00,2012/03/18 19:33:00
Case112,Laser Marking,ID4718,2012/03/18 19:42:00,2012/03/18 21:55:00
Case112,Lapping,ID0998,2012/03/18 22:43:00,2012/03/19 01:10:00
Case112,Turning & Milling,ID4641,2012/03/19 04:38:00,2012/03/19 07:19:00
Case112,Turning & Milling,ID4641,2012/03/19 07:19:00,2012/03/19 10:10:00
Case112,Turning & Milling,ID4529,2012/03/19 10:12:00,2012/03/19 13:46:00
Case112,Turning & Milling,ID4718,2012/03/19 14:26:00,2012/03/19 23:39:00
Case112,Turning & Milling,ID4641,2012/03/20 04:18:00,2012/03/20 13:48:00
Case112,Turning & Milling,ID3846,2012/03/20 14:20:00,2012/03/21 00:52:00
Case112,Final Inspection Q.C.,ID4287,2012/03/20 18:30:00,2012/03/20 20:30:00
Case112,Final Inspection Q.C.,ID4287,2012/03/20 23:00:00,2012/03/20 23:33:00
Case112,Turning & Milling,ID4641,2012/03/21 04:30:00,2012/03/21 10:29:00
Case112,Packing,ID4820,2012/03/21 07:00:00,2012/03/21 08:00:00
Case112,Packing,ID4820,2012/03/21 07:00:00,2012/03/21 08:00:00
Case112,Turning & Milling Q.C.,ID4287,2012/03/21 15:31:00,2012/03/21 17:00:00
Case112,Laser Marking,ID4718,2012/03/21 17:01:00,2012/03/21 19:32:00
Case112,Turning & Milling,ID4132,2012/03/21 22:31:00,2012/03/22 00:43:00
Case112,Turning & Milling,ID4641,2012/03/22 03:29:00,2012/03/22 12:32:00
Case112,Grinding Rework,ID4882,2012/03/22 14:42:00,2012/03/22 15:42:00
Case112,Grinding Rework,ID4882,2012/03/22 16:02:00,2012/03/22 19:22:00
