,caseid,task,user,start_timestamp,end_timestamp,l1,l2,l3,city1,city2,city3,city4,city5,snap1,snap2,snap3,snap4,snap5
42,Case100,Turning & Milling,ID4219,2012-02-21 13:45:00,2012-02-21 18:03:00,22,4,3,3,5,7,8,13,22,22,22,22,22
43,Case100,Turning & Milling,ID4219,2012-02-21 18:04:00,2012-02-21 19:08:00,27,6,3,5,7,9,10,15,27,27,27,27,27
44,Case100,Turning & Milling Q.C.,ID4618,2012-02-22 21:48:00,2012-02-22 22:10:00,43,4,1,3,11,14,16,24,26,43,43,43,43
45,Case100,Laser Marking,ID0998,2012-03-11 18:05:00,2012-03-11 18:06:00,96,34,7,0,8,17,26,59,14,46,54,73,96
46,Case100,Flat Grinding,ID0998,2012-03-11 19:23:00,2012-03-11 19:45:00,97,11,6,0,8,17,26,60,15,47,55,74,97
47,Case100,Lapping,ID4882,2012-03-11 19:46:00,2012-03-11 20:18:00,97,33,2,0,8,17,26,60,15,47,55,74,97
48,Case100,Round Grinding,ID4445,2012-03-13 17:34:00,2012-03-13 17:41:00,105,32,3,0,6,17,29,68,26,43,63,77,105
49,Case100,Round Grinding,ID4445,2012-03-13 17:41:00,2012-03-13 22:12:00,105,32,22,0,6,17,29,68,26,43,63,77,105
50,Case100,Grinding Rework,ID4872,2012-03-16 18:30:00,2012-03-16 19:40:00,116,13,2,0,4,16,29,76,26,54,74,77,116
51,Case100,Final Inspection Q.C.,ID4618,2012-03-19 18:21:00,2012-03-19 21:06:00,121,66,1,1,5,9,25,78,26,51,69,82,121
52,Case100,Packing,ID4820,2012-03-21 07:00:00,2012-03-21 08:00:00,126,69,3,1,3,11,22,83,28,49,74,88,126
53,Case100,Final Inspection Q.C.,ID4618,2012-03-21 14:02:00,2012-03-21 14:03:00,127,71,17,0,2,10,25,83,31,50,75,89,127
54,Case101,Setup,ID4219,2012-03-14 01:47:00,2012-03-14 03:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Case101,Turning & Milling,ID4219,2012-03-14 03:38:00,2012-03-14 06:03:00,3,1,0,1,2,2,2,2,3,3,3,3,3
56,Case101,Turning & Milling,ID4219,2012-03-14 06:04:00,2012-03-14 06:49:00,4,2,0,0,2,3,3,3,4,4,4,4,4
57,Case101,Turning & Milling,ID4219,2012-03-14 06:50:00,2012-03-14 08:06:00,4,2,2,0,2,3,3,3,4,4,4,4,4
58,Case101,Turning & Milling,ID4794,2012-03-14 08:06:00,2012-03-14 13:28:00,12,3,2,1,4,5,5,6,12,12,12,12,12
59,Case101,Turning & Milling,ID0997,2012-03-14 14:02:00,2012-03-14 14:48:00,15,3,2,3,5,7,7,9,15,15,15,15,15
60,Case101,Turning & Milling,ID0997,2012-03-14 14:49:00,2012-03-14 18:10:00,16,4,3,3,5,7,7,10,16,16,16,16,16
61,Case101,Turning & Milling,ID0997,2012-03-14 18:11:00,2012-03-14 20:30:00,17,5,3,2,5,7,7,10,17,17,17,17,17
62,Case101,Turning & Milling Q.C.,ID4618,2012-03-14 20:33:00,2012-03-14 21:48:00,20,6,2,2,6,9,10,13,20,20,20,20,20
63,Case101,Flat Grinding,ID0998,2012-03-15 16:55:00,2012-03-15 17:55:00,28,2,1,3,10,14,15,20,23,28,28,28,28
64,Case101,Lapping,ID0998,2012-03-23 18:00:00,2012-03-23 19:40:00,78,23,2,1,7,38,43,59,22,58,78,78,78
65,Case101,Round Grinding,ID4528,2012-03-25 06:15:00,2012-03-25 07:45:00,79,16,3,0,5,25,44,58,4,52,73,79,79
66,Case101,Round Grinding,ID4528,2012-03-25 07:45:00,2012-03-25 14:45:00,79,16,9,1,5,25,44,58,4,50,70,79,79
67,Case101,Final Inspection Q.C.,ID4618,2012-03-25 14:50:00,2012-03-25 19:31:00,81,37,5,0,5,22,46,60,9,51,71,81,81
68,Case101,Lapping,ID0998,2012-03-25 18:00:00,2012-03-25 19:00:00,81,24,0,0,5,24,46,60,17,48,70,81,81
69,Case101,Laser Marking,ID0998,2012-03-25 19:15:00,2012-03-25 19:29:00,82,28,0,1,5,23,46,60,19,49,70,82,82
70,Case101,Packing,ID4820,2012-03-26 08:00:00,2012-03-26 09:00:00,82,36,1,0,3,24,45,59,23,45,67,82,82
71,Case102,Turning & Milling,ID4219,2012-02-27 23:40:00,2012-02-28 04:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Case102,Turning & Milling,ID4219,2012-02-28 04:46:00,2012-02-28 08:23:00,5,3,2,1,2,4,4,5,5,5,5,5,5
73,Case102,Turning & Milling,ID0997,2012-02-28 18:00:00,2012-02-28 20:26:00,19,5,2,3,5,9,9,11,19,19,19,19,19
74,Case102,Turning & Milling,ID0997,2012-02-28 21:20:00,2012-02-28 23:12:00,20,5,2,4,6,10,10,12,20,20,20,20,20
75,Case102,Turning & Milling Q.C.,ID4287,2012-02-28 21:35:00,2012-02-28 22:25:00,20,4,2,4,6,10,10,12,20,20,20,20,20
76,Case102,Turning & Milling,ID0997,2012-02-28 23:12:00,2012-02-29 00:56:00,21,5,3,4,6,11,11,13,21,21,21,21,21
77,Case102,Turning & Milling,ID4219,2012-02-29 04:28:00,2012-02-29 08:29:00,21,6,2,4,6,11,11,13,21,21,21,21,21
78,Case102,Turning & Milling,ID4794,2012-02-29 08:30:00,2012-02-29 11:31:00,23,6,3,4,6,11,11,14,21,23,23,23,23
79,Case102,Turning & Milling,ID0997,2012-02-29 14:32:00,2012-02-29 18:05:00,26,8,3,4,8,13,13,16,24,26,26,26,26
80,Case102,Turning & Milling,ID0997,2012-02-29 18:05:00,2012-02-29 23:00:00,29,8,3,3,9,15,15,18,26,29,29,29,29
81,Case102,Turning & Milling Q.C.,ID4287,2012-02-29 22:00:00,2012-02-29 23:00:00,29,7,4,3,8,15,15,18,25,29,29,29,29
82,Case102,Turning & Milling,ID0997,2012-02-29 23:00:00,2012-03-01 00:20:00,30,8,5,3,8,16,16,19,26,30,30,30,30
83,Case102,Turning & Milling Q.C.,ID4287,2012-02-29 23:04:00,2012-02-29 23:36:00,30,7,2,3,8,16,16,19,26,30,30,30,30
84,Case102,Turning & Milling,ID0997,2012-03-01 00:19:00,2012-03-01 00:48:00,30,8,5,3,8,16,16,19,26,30,30,30,30
85,Case102,Turning & Milling,ID4219,2012-03-01 05:27:00,2012-03-01 07:11:00,32,9,5,4,9,17,18,21,28,32,32,32,32
86,Case102,Turning & Milling Q.C.,ID4287,2012-03-01 16:30:00,2012-03-01 17:49:00,35,8,4,3,10,19,19,23,20,35,35,35,35
87,Case102,Turning & Milling Q.C.,ID4287,2012-03-06 07:00:00,2012-03-06 08:15:00,50,18,7,1,8,22,29,36,25,37,50,50,50
88,Case102,Laser Marking,ID0998,2012-03-08 20:32:00,2012-03-08 21:41:00,65,19,3,1,7,35,38,47,30,51,65,65,65
89,Case102,Lapping,ID4882,2012-03-09 07:00:00,2012-03-09 08:15:00,65,21,5,0,8,32,38,47,27,51,65,65,65
90,Case102,Lapping,ID0998,2012-03-11 16:38:00,2012-03-11 18:04:00,66,22,6,0,6,20,37,47,12,45,53,66,66
91,Case102,Round Grinding,ID4528,2012-03-12 02:25:00,2012-03-12 03:00:00,69,15,5,0,6,20,40,49,20,48,55,69,69
92,Case102,Round Grinding,ID4528,2012-03-12 03:00:00,2012-03-12 06:40:00,69,15,10,0,6,20,40,49,20,48,55,69,69
93,Case102,Round Grinding,ID4445,2012-03-12 14:03:00,2012-03-12 15:04:00,70,16,12,0,5,19,41,50,20,44,56,70,70
94,Case102,Round Grinding,ID4445,2012-03-12 14:50:00,2012-03-12 15:09:00,70,16,12,0,5,19,41,50,21,44,56,70,70
95,Case102,Round Grinding,ID4287,2012-03-12 15:02:00,2012-03-12 15:09:00,70,16,12,0,5,19,41,50,20,43,56,70,70
96,Case102,Round Grinding,ID4287,2012-03-12 15:10:00,2012-03-12 17:57:00,70,16,12,0,5,19,41,50,20,43,56,70,70
97,Case102,Round Grinding,ID4445,2012-03-12 17:00:00,2012-03-12 17:58:00,71,16,12,1,5,20,42,51,20,44,58,71,71
98,Case102,Final Inspection Q.C.,ID4287,2012-03-12 21:00:00,2012-03-13 00:00:00,71,30,9,2,6,20,42,51,20,44,58,71,71
99,Case102,Final Inspection Q.C.,ID4287,2012-03-13 15:00:00,2012-03-13 15:06:00,75,30,5,2,6,17,46,54,26,41,62,75,75
100,Case102,Packing,ID4820,2012-03-14 07:00:00,2012-03-14 08:00:00,78,32,8,1,6,19,44,57,25,44,65,78,78
101,Case103,Turning & Milling,ID4219,2012-03-06 16:10:00,2012-03-06 17:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Case103,Turning & Milling,ID0997,2012-03-08 11:19:00,2012-03-08 13:51:00,33,9,6,4,10,14,16,23,27,33,33,33,33
103,Case103,Turning & Milling,ID4219,2012-03-08 17:04:00,2012-03-08 23:38:00,37,11,3,3,11,17,19,27,26,37,37,37,37
104,Case103,Turning & Milling,ID0997,2012-03-09 03:24:00,2012-03-09 11:35:00,42,11,4,2,11,18,21,31,30,42,42,42,42
105,Case103,Turning & Milling,ID0997,2012-03-09 11:35:00,2012-03-09 14:27:00,43,11,4,2,11,19,22,32,25,43,43,43,43
106,Case103,Turning & Milling Q.C.,ID4618,2012-03-09 14:32:00,2012-03-09 17:38:00,44,15,8,1,11,19,22,31,24,44,44,44,44
107,Case103,Turning & Milling,ID4219,2012-03-09 14:32:00,2012-03-09 17:27:00,44,11,2,1,11,19,22,31,24,44,44,44,44
108,Case103,Turning & Milling Q.C.,ID4618,2012-03-11 14:42:00,2012-03-11 15:16:00,46,17,1,0,10,16,20,32,9,46,46,46,46
109,Case103,Turning & Milling,ID0997,2012-03-11 16:03:00,2012-03-11 17:37:00,46,11,4,0,10,16,20,32,11,46,46,46,46
110,Case103,Turning & Milling,ID0997,2012-03-11 17:37:00,2012-03-11 18:48:00,46,11,4,0,7,17,20,32,12,45,46,46,46
111,Case103,Turning & Milling,ID0997,2012-03-11 18:49:00,2012-03-11 23:09:00,48,12,4,0,7,18,22,34,15,47,48,48,48
112,Case103,Turning & Milling,ID4219,2012-03-11 23:35:00,2012-03-12 01:35:00,48,12,4,0,8,18,23,35,19,47,48,48,48
113,Case103,Turning & Milling Q.C.,ID4618,2012-03-12 15:27:00,2012-03-12 15:28:00,52,18,10,0,7,21,26,39,21,44,52,52,52
114,Case103,Laser Marking,ID4355,2012-03-13 16:54:00,2012-03-13 17:46:00,57,19,7,0,7,26,31,44,24,42,57,57,57
115,Case103,Flat Grinding,ID0998,2012-03-13 20:27:00,2012-03-13 21:04:00,58,7,4,0,6,26,32,45,24,40,58,58,58
116,Case103,Final Inspection Q.C.,ID4618,2012-03-13 21:07:00,2012-03-14 00:57:00,58,18,0,0,7,26,32,45,25,40,58,58,58
117,Case103,Final Inspection Q.C.,ID4618,2012-03-14 13:58:00,2012-03-14 17:35:00,62,19,0,0,7,30,34,49,26,45,62,62,62
118,Case103,Final Inspection Q.C.,ID4618,2012-03-14 19:03:00,2012-03-14 19:04:00,63,20,2,1,6,30,35,50,23,43,63,63,63
119,Case103,Packing,ID4820,2012-03-15 07:00:00,2012-03-15 08:00:00,66,19,3,1,6,30,35,51,24,46,66,66,66
120,Case104,Turning & Milling,ID4529,2012-03-20 03:43:00,2012-03-20 09:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Case104,Turning & Milling,ID4529,2012-03-20 09:27:00,2012-03-20 13:41:00,10,2,1,0,0,1,2,4,10,10,10,10,10
122,Case104,Turning & Milling,ID4429,2012-03-20 14:00:00,2012-03-20 18:07:00,12,4,2,1,2,3,4,6,12,12,12,12,12
123,Case104,Turning & Milling Q.C.,ID4493,2012-03-20 16:54:00,2012-03-20 18:54:00,20,2,0,2,5,6,8,11,20,20,20,20,20
124,Case104,Turning & Milling Q.C.,ID4493,2012-03-21 13:55:00,2012-03-21 14:41:00,33,5,1,2,9,12,15,22,31,33,33,33,33
125,Case104,Laser Marking,ID4718,2012-03-21 16:21:00,2012-03-21 16:49:00,36,6,0,1,11,14,18,25,30,36,36,36,36
126,Case105,Turning & Milling,ID4167,2012-03-21 06:18:00,2012-03-21 13:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Case105,Turning & Milling,ID4932,2012-03-21 14:18:00,2012-03-21 17:31:00,17,4,3,2,4,6,7,13,17,17,17,17,17
128,Case106,Turning & Milling,ID0997,2012-03-15 17:14:00,2012-03-15 22:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Case106,Turning & Milling,ID4219,2012-03-15 23:55:00,2012-03-16 03:38:00,14,4,2,3,6,6,10,11,14,14,14,14,14
130,Case106,Turning & Milling Q.C.,ID4618,2012-03-19 14:00:00,2012-03-19 14:28:00,40,10,2,1,12,17,22,29,23,40,40,40,40
131,Case106,Laser Marking,ID0998,2012-03-19 16:38:00,2012-03-19 17:51:00,42,9,5,1,13,19,23,32,25,42,42,42,42
132,Case106,Flat Grinding,ID4882,2012-03-19 21:42:00,2012-03-19 22:20:00,42,2,2,0,12,19,23,32,28,42,42,42,42
133,Case106,Final Inspection Q.C.,ID4618,2012-03-21 22:27:00,2012-03-22 00:57:00,57,23,0,0,13,27,33,44,28,49,57,57,57
134,Case106,Packing,ID4820,2012-03-22 07:00:00,2012-03-22 08:00:00,59,22,0,0,9,27,34,45,30,51,59,59,59
135,Case106,Final Inspection Q.C.,ID4618,2012-03-22 18:50:00,2012-03-22 20:05:00,62,25,5,2,10,28,37,47,27,55,62,62,62
136,Case107,Turning & Milling,ID4132,2012-03-30 14:36:00,2012-03-30 19:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Case108,Turning & Milling,ID4794,2012-02-27 08:18:00,2012-02-27 13:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Case108,Turning & Milling,ID4529,2012-02-27 13:59:00,2012-02-27 16:13:00,4,0,0,1,1,1,2,2,4,4,4,4,4
139,Case108,Turning & Milling Q.C.,ID4287,2012-02-27 14:00:00,2012-02-27 15:40:00,4,1,0,1,1,1,2,2,4,4,4,4,4
140,Case108,Turning & Milling,ID4529,2012-02-27 16:13:00,2012-02-27 19:38:00,10,0,0,1,1,3,5,5,10,10,10,10,10
141,Case108,Turning & Milling Q.C.,ID4287,2012-02-28 20:20:00,2012-02-28 21:24:00,24,6,1,5,7,13,14,16,21,24,24,24,24
142,Case108,Laser Marking,ID0998,2012-02-29 00:52:00,2012-02-29 02:07:00,24,5,0,5,8,13,14,16,21,24,24,24,24
143,Case108,Flat Grinding,ID4528,2012-02-29 07:00:00,2012-02-29 08:15:00,24,0,0,4,6,13,14,16,21,24,24,24,24
144,Case108,Flat Grinding,ID0420,2012-03-01 05:05:00,2012-03-01 06:04:00,33,3,0,5,10,18,19,22,28,33,33,33,33
145,Case108,Lapping,ID0420,2012-03-01 09:35:00,2012-03-01 10:28:00,34,6,0,4,10,18,19,22,25,34,34,34,34
146,Case108,Lapping,ID0420,2012-03-01 09:36:00,2012-03-01 10:50:00,34,6,0,4,10,18,19,22,25,34,34,34,34
147,Case108,Round Grinding,ID4385,2012-03-07 15:30:00,2012-03-07 18:16:00,60,10,3,1,7,28,36,44,27,43,60,60,60
148,Case108,Round Grinding,ID4385,2012-03-07 18:18:00,2012-03-07 21:10:00,61,10,5,1,7,29,37,45,25,44,61,61,61
149,Case108,Round Grinding,ID0420,2012-03-07 21:12:00,2012-03-07 22:56:00,62,10,7,1,7,30,38,46,24,45,62,62,62
150,Case108,Round Grinding,ID4872,2012-03-07 22:57:00,2012-03-08 02:30:00,63,10,7,1,7,30,38,46,25,46,63,63,63
151,Case108,Final Inspection Q.C.,ID4287,2012-03-08 18:00:00,2012-03-08 22:52:00,66,27,9,2,9,31,40,49,26,50,66,66,66
152,Case108,Packing,ID4820,2012-03-09 07:00:00,2012-03-09 08:00:00,66,25,5,1,8,30,39,48,27,51,65,66,66
153,Case108,Final Inspection Q.C.,ID4287,2012-03-09 16:00:00,2012-03-09 16:27:00,66,30,7,0,8,28,39,48,24,51,64,66,66
154,Case109,Turning & Milling,ID4932,2012-03-04 18:14:00,2012-03-05 01:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Case109,Turning & Milling,ID4167,2012-03-05 00:52:00,2012-03-05 06:53:00,11,2,2,2,3,3,5,6,11,11,11,11,11
156,Case109,Turning & Milling Q.C.,ID4618,2012-03-05 07:00:00,2012-03-05 08:15:00,13,1,1,2,4,4,7,8,13,13,13,13,13
157,Case109,Turning & Milling,ID4529,2012-03-05 07:03:00,2012-03-05 08:08:00,15,4,1,2,5,5,8,9,15,15,15,15,15
158,Case109,Turning & Milling,ID4529,2012-03-05 08:09:00,2012-03-05 13:43:00,15,4,1,2,5,5,8,9,15,15,15,15,15
159,Case109,Turning & Milling,ID4932,2012-03-05 13:49:00,2012-03-05 16:41:00,16,5,2,2,5,5,8,10,16,16,16,16,16
160,Case109,Turning & Milling Q.C.,ID4618,2012-03-05 14:00:00,2012-03-05 15:21:00,16,3,3,2,5,5,8,10,16,16,16,16,16
161,Case109,Turning & Milling Q.C.,ID4618,2012-03-05 17:18:00,2012-03-05 17:23:00,20,7,1,4,7,9,12,14,20,20,20,20,20
162,Case109,Laser Marking,ID0998,2012-03-15 18:05:00,2012-03-15 18:26:00,74,30,5,1,7,28,44,58,26,51,73,74,74
163,Case109,Round Grinding,ID4355,2012-03-21 12:03:00,2012-03-21 13:22:00,89,25,0,3,8,15,34,71,31,50,75,89,89
164,Case109,Round Grinding,ID4355,2012-03-21 13:23:00,2012-03-21 13:49:00,89,25,1,1,8,15,33,71,31,50,75,89,89
165,Case109,Round Grinding,ID4385,2012-03-21 14:34:00,2012-03-21 19:08:00,90,25,16,1,8,15,34,72,30,51,76,90,90
166,Case109,Round Grinding,ID4445,2012-03-23 07:40:00,2012-03-23 08:33:00,95,28,19,0,9,18,34,76,27,57,79,86,95
167,Case109,Round Grinding,ID4445,2012-03-23 08:34:00,2012-03-23 11:08:00,95,28,19,0,9,18,34,76,27,57,79,86,95
168,Case109,Final Inspection Q.C.,ID4618,2012-03-23 14:25:00,2012-03-23 17:50:00,95,50,10,0,9,16,33,76,24,57,79,86,95
169,Case109,Packing,ID4491,2012-03-25 08:00:00,2012-03-25 09:00:00,96,47,6,0,6,16,26,74,5,50,70,83,96
170,Case11,Turning & Milling,ID4132,2012-01-16 01:04:00,2012-01-16 06:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Case11,Turning & Milling,ID4641,2012-01-16 13:59:00,2012-01-16 16:49:00,13,5,2,3,6,7,13,13,13,13,13,13,13
172,Case11,Turning & Milling Q.C.,ID4287,2012-01-16 16:00:00,2012-01-16 16:54:00,17,2,1,4,7,9,17,17,17,17,17,17,17
173,Case11,Turning & Milling,ID4641,2012-01-16 16:50:00,2012-01-16 23:22:00,18,6,1,4,8,10,18,18,18,18,18,18,18
174,Case11,Turning & Milling,ID4132,2012-01-17 01:08:00,2012-01-17 06:38:00,22,7,1,4,10,12,22,22,22,22,22,22,22
175,Case11,Turning & Milling,ID4932,2012-01-17 06:39:00,2012-01-17 13:37:00,23,8,2,2,11,13,23,23,21,23,23,23,23
176,Case11,Turning & Milling,ID4641,2012-01-17 17:46:00,2012-01-17 19:01:00,29,9,3,3,11,14,29,29,23,29,29,29,29
177,Case11,Turning & Milling Q.C.,ID4287,2012-01-18 14:00:00,2012-01-18 15:38:00,38,12,5,0,16,21,37,38,28,38,38,38,38
178,Case11,Turning & Milling,ID4641,2012-01-18 15:35:00,2012-01-18 16:50:00,40,14,3,1,17,22,39,40,28,40,40,40,40
179,Case11,Turning & Milling,ID4641,2012-01-18 15:36:00,2012-01-18 16:56:00,40,14,2,1,17,22,39,40,28,40,40,40,40
180,Case11,Turning & Milling,ID4641,2012-01-18 16:57:00,2012-01-18 22:32:00,40,14,8,0,18,22,39,40,28,40,40,40,40
181,Case11,Turning & Milling Q.C.,ID4618,2012-01-18 17:14:00,2012-01-18 18:29:00,40,13,6,0,18,22,39,40,28,40,40,40,40
182,Case11,Turning & Milling,ID4641,2012-01-19 14:39:00,2012-01-19 16:00:00,44,17,3,0,20,26,40,44,26,44,44,44,44
183,Case11,Turning & Milling,ID4641,2012-01-19 16:01:00,2012-01-19 23:00:00,45,18,3,0,21,26,41,45,25,45,45,45,45
184,Case11,Turning & Milling,ID4132,2012-01-19 23:08:00,2012-01-20 02:21:00,45,18,11,0,21,26,41,45,24,45,45,45,45
185,Case11,Laser Marking,ID4882,2012-01-22 22:01:00,2012-01-22 22:33:00,48,10,0,0,11,26,38,48,18,37,48,48,48
186,Case11,Turning & Milling Q.C.,ID4618,2012-01-23 16:24:00,2012-01-23 16:25:00,51,24,0,2,12,29,40,51,20,37,51,51,51
187,Case11,Laser Marking,ID4882,2012-01-24 21:41:00,2012-01-24 23:06:00,57,19,0,2,16,35,44,57,26,42,57,57,57
188,Case11,Packing,ID4820,2012-01-25 07:00:00,2012-01-25 08:00:00,57,16,0,3,16,35,43,57,24,40,57,57,57
189,Case11,Final Inspection Q.C.,ID4618,2012-01-25 18:11:00,2012-01-25 21:09:00,59,15,1,2,15,37,44,59,27,40,59,59,59
190,Case11,Turning & Milling Q.C.,ID4618,2012-01-25 21:10:00,2012-01-25 21:11:00,59,30,0,3,15,37,44,59,26,40,59,59,59
191,Case110,Turning & Milling,ID4794,2012-03-01 10:49:00,2012-03-01 13:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Case110,Turning & Milling,ID4529,2012-03-01 13:57:00,2012-03-01 19:36:00,2,1,1,1,1,1,1,1,2,2,2,2,2
193,Case110,Turning & Milling Q.C.,ID4163,2012-03-01 17:00:00,2012-03-01 18:00:00,10,2,1,3,5,6,7,7,10,10,10,10,10
